city,state,avg_price
Byromville,Georgia,"$2,200,000.00"
Bay Harbor,Michigan,"$2,199,400.00"
Sunfish Lake,Minnesota,"$2,199,000.00"
Warren,Connecticut,"$2,197,000.00"
Monroe Center,Illinois,"$2,195,000.00"
Key Colony,Florida,"$2,168,288.12"
Woodsburgh,New York,"$2,146,000.00"
Rapidan,Virginia,"$2,113,133.33"
Mount Desert,Maine,"$2,113,125.00"
Isle of Palms,South Carolina,"$2,112,181.67"
Ocean Beach,New York,"$2,101,875.00"
Lemmon,North Dakota,"$2,100,000.00"
North Lemmon,North Dakota,"$2,100,000.00"
Greenwich,Connecticut,"$2,099,948.90"
Glenwood Landing,New York,"$2,096,069.83"
Malba,New York,"$2,079,888.73"
Kennebunkport,Maine,"$2,075,777.78"
Seaport,Massachusetts,"$2,065,558.33"
Belleair Beach,Florida,"$2,064,641.92"
Recluse,Wyoming,"$2,049,633.33"
Sunny Isles Beach,Florida,"$2,048,205.23"
Manhasset,New York,"$2,042,636.75"
Barnsdall,Oklahoma,"$2,039,966.67"
Hulett,Wyoming,"$2,037,500.00"
Palm Beach Shores,Florida,"$2,025,841.18"
Compton,Arkansas,"$2,022,450.00"
North Bethany,Delaware,"$2,017,804.58"
Arrington,Tennessee,"$2,016,916.67"
Millstone Township,New Jersey,"$2,013,000.00"
Shiloh,Georgia,"$2,012,500.00"
Cameron,Montana,"$2,008,000.00"
Wellesley,Massachusetts,"$2,003,257.58"
Condon,Montana,"$2,001,333.33"
Rumson,New Jersey,"$2,000,515.09"
Waubay,South Dakota,"$2,000,000.00"
NULL,Idaho,"$1,999,999.00"
South End,Massachusetts,"$1,999,666.67"
North Haven,New York,"$1,999,000.00"
Wilbur By the Sea,Florida,"$1,998,000.00"
Rye,New York,"$1,978,682.93"
Saint Joseph,Tennessee,"$1,975,000.00"
Longport,New Jersey,"$1,971,761.54"
Hunting Valley,Ohio,"$1,970,833.33"
Sherwood,Tennessee,"$1,957,894.00"
Chatham,Massachusetts,"$1,953,047.22"
Upperville,Virginia,"$1,951,666.67"
Quincy,Kentucky,"$1,950,000.00"
South Bristol,Maine,"$1,950,000.00"
NULL,Kansas,"$1,950,000.00"
Villanova,Pennsylvania,"$1,945,854.40"
NULL,Texas,"$1,944,200.00"
Boston,Virginia,"$1,940,855.44"
Utica,Kansas,"$1,938,750.00"
Manchester,Massachusetts,"$1,931,000.00"
Siesta Key,Florida,"$1,922,500.00"
Miami Beach,Florida,"$1,920,642.55"
Key Largo,Florida,"$1,920,247.99"
Tanner,Alabama,"$1,912,750.00"
University Park,Texas,"$1,909,277.78"
100 89 Lower Shepard Creek Road,North Carolina,"$1,900,000.00"
Harlem,Montana,"$1,900,000.00"
Feed,Montana,"$1,900,000.00"
Wrightsville Beach,North Carolina,"$1,899,506.45"
Pompeys Pillar,Montana,"$1,899,000.00"
Gray Summit,Missouri,"$1,897,950.00"
Craftsbury,Vermont,"$1,897,500.00"
Salisbury,Connecticut,"$1,891,888.89"
Indian Hill,Ohio,"$1,889,933.33"
Old San Juan,Puerto Rico,"$1,885,000.00"
Rosslyn,Virginia,"$1,881,500.00"
Woods Hole,Massachusetts,"$1,874,500.00"
Upper Captiva,Florida,"$1,870,142.86"
North Redington Beach,Florida,"$1,869,466.60"
Inlet Beach,Florida,"$1,863,883.78"
Harding Township,New Jersey,"$1,850,999.94"
Back Bay,Massachusetts,"$1,849,333.33"
Old Greenwich,Connecticut,"$1,845,818.18"
North Falmouth,Massachusetts,"$1,837,111.11"
Cotuit,Massachusetts,"$1,836,981.82"
Southwest Ranches,Florida,"$1,826,732.97"
Coconut Grove,Florida,"$1,820,095.24"
Lima,Montana,"$1,817,500.00"
Osterville,Massachusetts,"$1,814,380.00"
Copper Canyon,Texas,"$1,812,743.25"
Wayzata,Minnesota,"$1,811,744.44"
Harwich Port,Massachusetts,"$1,802,536.36"
Strathmere,New Jersey,"$1,801,985.43"
Lafayette,Wisconsin,"$1,800,000.00"
Cape May Point,New Jersey,"$1,799,980.00"
Nemo,Texas,"$1,798,333.33"
New Canaan,Connecticut,"$1,795,240.87"
Needham,Massachusetts,"$1,793,884.16"
Sea Isle City,New Jersey,"$1,793,046.57"
Southlake,Texas,"$1,791,317.46"
Folly Beach,South Carolina,"$1,790,440.00"
Marco Island,Florida,"$1,786,343.79"
Darien,Connecticut,"$1,784,958.61"
Sea Girt,New Jersey,"$1,779,699.93"
Oxford,Maryland,"$1,779,390.00"
Summerland Key,Florida,"$1,775,153.13"
Middle Torch,Florida,"$1,775,000.00"
Beach Haven,New Jersey,"$1,772,303.81"
Hickory Corners,Michigan,"$1,772,000.00"
Kenilworth,Illinois,"$1,771,952.33"
Myrtle,Missouri,"$1,765,500.00"
Bigfork,Montana,"$1,761,394.68"
Lead Hill,Arkansas,"$1,758,460.00"
Daisy,Oklahoma,"$1,750,000.00"
Langdon,Kansas,"$1,750,000.00"
Hingham,Massachusetts,"$1,749,907.41"
Barnard,Vermont,"$1,749,500.00"
Coral Gables,Florida,"$1,749,157.91"
Normandy Beach,New Jersey,"$1,749,000.00"
Okauchee,Wisconsin,"$1,746,333.33"
Great Falls,Virginia,"$1,742,028.50"
Roxbury,Connecticut,"$1,741,734.78"
Cutchogue,New York,"$1,740,923.08"
Cold Spg Hbr,New York,"$1,739,875.00"
Dover,Massachusetts,"$1,739,666.67"
Deephaven,Minnesota,"$1,728,200.00"
Camden,Maine,"$1,723,487.50"
North Salem,New York,"$1,716,491.67"
Sunset,South Carolina,"$1,715,322.65"
Wellington,Florida,"$1,715,281.00"
Miami Shores,Florida,"$1,712,824.34"
Cashiers,North Carolina,"$1,703,921.81"
Stockton,Iowa,"$1,700,000.00"
Bartonville,Texas,"$1,698,233.33"
Silver Star,Montana,"$1,693,333.33"
Absarokee,Montana,"$1,689,660.00"
Osprey,Florida,"$1,687,889.67"
Santurce,Puerto Rico,"$1,685,000.00"
Tonka Bay,Minnesota,"$1,682,519.00"
Miromar Lakes,Florida,"$1,677,682.07"
Orleans,Massachusetts,"$1,676,885.37"
Barnegat Light,New Jersey,"$1,675,709.09"
Useppa Island,Florida,"$1,675,000.00"
Indian River Shores,Florida,"$1,668,910.71"
Riverdale,New York,"$1,666,333.33"
Loxahatchee Groves,Florida,"$1,664,809.09"
Southold,New York,"$1,664,424.50"
Roslyn Estates,New York,"$1,664,000.00"
Amelia Island,Florida,"$1,663,142.68"
Okoboji,Iowa,"$1,663,000.00"
Denmark Township,Minnesota,"$1,662,500.00"
Credit River,Minnesota,"$1,662,500.00"
Cos Cob,Connecticut,"$1,661,097.22"
East Jewett,New York,"$1,661,000.00"
Radnor,Pennsylvania,"$1,659,874.75"
Lexington,Massachusetts,"$1,654,745.00"
Millburn,New Jersey,"$1,654,302.49"
Huntly,Virginia,"$1,650,000.00"
Magnolia,Minnesota,"$1,650,000.00"
Pomfret,Vermont,"$1,649,666.67"
Town and Country,Missouri,"$1,647,020.77"
NULL,Mississippi,"$1,644,266.67"
Washington,Connecticut,"$1,643,684.16"
Sanibel,Florida,"$1,643,505.48"
Six Mile,South Carolina,"$1,642,716.67"
Ponte Vedra Beach,Florida,"$1,641,754.46"
Tequesta,Florida,"$1,640,543.74"
Highland,Maryland,"$1,637,487.50"
College Grove,Tennessee,"$1,636,105.88"
Winnetka,Illinois,"$1,628,874.57"
Sayner,Wisconsin,"$1,625,000.00"
Biltmore Forest,North Carolina,"$1,624,999.50"
Lower Gwynedd,Pennsylvania,"$1,622,533.50"
Belle Terre,New York,"$1,622,500.00"
Bay Head,New Jersey,"$1,620,050.00"
Avon By The Sea,New Jersey,"$1,618,580.00"
Key West,Florida,"$1,618,245.08"
Duxbury,Massachusetts,"$1,613,700.00"
South Bethany,Delaware,"$1,608,530.77"
Sandestin,Florida,"$1,604,000.00"
Halifax,Vermont,"$1,603,750.00"
Stockbridge,Wisconsin,"$1,600,000.00"
Fort Worth Eagle Mountain,Texas,"$1,600,000.00"
Santo,Texas,"$1,598,750.00"
Somers,Montana,"$1,596,714.29"
Lattingtown,New York,"$1,595,000.00"
Chester Twp,New Jersey,"$1,594,950.00"
Dover,Wisconsin,"$1,590,000.00"
Newton,Massachusetts,"$1,587,209.41"
Nye,Montana,"$1,584,980.00"
Whitehall,Montana,"$1,583,805.88"
Marion,Montana,"$1,581,060.00"
Dyke,Virginia,"$1,576,333.33"
Cohoctah,Michigan,"$1,575,160.00"
Mora,Missouri,"$1,575,000.00"
Yarmouth,Maine,"$1,574,177.78"
Whitefish,Montana,"$1,573,720.17"
Lexington,Indiana,"$1,573,700.00"
Edgemont,South Dakota,"$1,572,217.50"
Fort Deposit,Alabama,"$1,571,666.67"
Sagola,Michigan,"$1,571,580.00"
Harrison,New York,"$1,570,818.14"
Long Beach,Indiana,"$1,568,666.67"
Winchester,Massachusetts,"$1,568,354.55"
Middleburg,Virginia,"$1,567,611.77"
New Seabury,Massachusetts,"$1,564,068.18"
